KAN-30	KAN-53	Backlog	[Admin Screen 11] Team Management — Add & Remove Super-Admins
KAN-30	KAN-54	Done	[Admin Screen 01] Verification Queue — Approve & Reject Pending Churches
KAN-30	KAN-55	Done	[Admin Screen 04] Flagged Messages — Audit-Logged Read, Clear, Escalate
KAN-30	KAN-56	Done	[Admin Screen 07] Daily Scripture Seeding — Add, Edit, Delete Verses
KAN-30	KAN-57	Done	[Admin Screen 10] Audit Log View — Forensic Browse with Resolve
KAN-30	KAN-58	Backlog	[POST-MVP] Audit Log Retention Policy
KAN-30	KAN-59	Done	[DBA Enabler] Migration v1.20.0 — Audit Log Expansion + Admin Schema Additions
KAN-30	KAN-82	Done	[DBA Enabler] Batch D Migration — audit_log CHECK additions + admin schema fields
KAN-31	KAN-60	Backlog	API & Integration Reference — Document All Edge Functions
KAN-31	KAN-79	Done	[KAN-31a] OPS: Resend Account + Domain + DNS Verification — GATE STORY
KAN-31	KAN-80	Backlog	[KAN-31b] BE: Resend SDK + sendEmail() Utility + Retry / Bounce Handling
KAN-31	KAN-81	Backlog	[KAN-31c] OPS+BE: Scaffold 8 Email Templates in Resend (Variable Maps + Underground Branch)
KAN-32	KAN-64	Done	[KAN-32a] Heartcry Submission Form — Screen 15
KAN-32	KAN-65	Done	[KAN-32b] Persecuted Tab Main View + Status Tracker — Screen 14
KAN-32	KAN-66	Done	[KAN-32c] BE: submit-heartcry Edge Function — DONE pending QA
KAN-32	KAN-67	Done	[KAN-32d] BE: admin-open-heartcry Decryption — Cross-Ref to KAN-51, DONE pending QA
KAN-33	KAN-45	Backlog	[POST-MVP] DM Content Encryption at Rest
KAN-33	KAN-68	Done	[KAN-33a] Connect Tab — Thread List (Screen 16)
KAN-33	KAN-69	Done	[KAN-33b] Connect — New DM Flow / Leader Search (Screen 17)
KAN-33	KAN-70	Done	[KAN-33c] Connect — DM Thread View (Screen 18)
KAN-33	KAN-71	Done	[KAN-33d] BE: send-message Edge Function + Keyword Flagging — BE confirms status
